From file: IsA_IsK_14Jan2021_sa	Instrument no.:	1320
Ser	Interval (sec)	Integration	Air pressure	Salinity	Chart Datum (dbar)	
3	2		1010.64	
Ser	Meas	Sal.	Temp	F (µg/l)	Opt	Density	Depth(u)	Date	Time		
3	696	34.460	1.568	0.01	99.84	27.574	0.4959	14/01/2021	13:21:55
3	697	34.462	1.568	0.01	99.62	27.576	0.6050	14/01/2021	13:21:57
3	698	34.453	1.569	0.01	99.50	27.569	0.5356	14/01/2021	13:21:59
3	699	34.457	1.573	0.02	99.45	27.571	0.4463	14/01/2021	13:22:01
3	700	34.461	1.579	0.02	99.34	27.576	0.9224	14/01/2021	13:22:03
3	701	34.468	1.575	0.02	99.18	27.583	1.1307	14/01/2021	13:22:05
3	702	34.464	1.576	0.01	99.07	27.581	1.2894	14/01/2021	13:22:07
3	703	34.463	1.580	0.01	98.99	27.585	2.4101	14/01/2021	13:22:09
3	704	34.471	1.580	0.01	98.87	27.592	2.5490	14/01/2021	13:22:11
3	705	34.467	1.587	0.02	98.88	27.588	2.6085	14/01/2021	13:22:13
3	706	34.466	1.580	0.01	98.80	27.592	3.3524	14/01/2021	13:22:15
3	707	34.464	1.579	0.02	98.68	27.590	3.3325	14/01/2021	13:22:17
3	708	34.465	1.583	0.02	98.75	27.592	3.4615	14/01/2021	13:22:19
3	709	34.467	1.585	0.01	98.69	27.593	3.6202	14/01/2021	13:22:21
3	710	34.472	1.583	0.01	98.68	27.598	3.7293	14/01/2021	13:22:23
3	711	34.468	1.585	0.01	98.61	27.594	3.6301	14/01/2021	13:22:25
3	712	34.463	1.585	0.01	98.59	27.591	3.7293	14/01/2021	13:22:27
3	713	34.463	1.585	0.01	98.51	27.591	3.8285	14/01/2021	13:22:29
3	714	34.466	1.587	0.01	98.46	27.593	3.7789	14/01/2021	13:22:31
3	715	34.461	1.586	0.01	98.46	27.590	3.8979	14/01/2021	13:22:33
3	716	34.457	1.589	0.01	98.41	27.587	3.8780	14/01/2021	13:22:35
3	717	34.468	1.588	0.01	98.40	27.596	4.0467	14/01/2021	13:22:37
