Name;Station;Time;Air temperature;Mean wind speed;Wind direction;Cloud cover;Relative air humidity
Svalbard Lufthavn;SN99840;01.10.2020 01:00;2;0.4;262;7;93
Svalbard Lufthavn;SN99840;01.10.2020 02:00;2.2;1.3;300;-;94
Svalbard Lufthavn;SN99840;01.10.2020 03:00;1.6;1.2;177;-;95
Svalbard Lufthavn;SN99840;01.10.2020 04:00;1.7;0;0;6;96
Svalbard Lufthavn;SN99840;01.10.2020 05:00;1.7;2.2;229;-;90
Svalbard Lufthavn;SN99840;01.10.2020 06:00;1.7;1.2;219;-;88
Svalbard Lufthavn;SN99840;01.10.2020 07:00;1.8;0.9;226;7;85
Svalbard Lufthavn;SN99840;01.10.2020 08:00;1.9;1.2;148;-;84
Svalbard Lufthavn;SN99840;01.10.2020 09:00;1.8;1.5;236;-;86
Svalbard Lufthavn;SN99840;01.10.2020 10:00;1.9;1.3;68;7;85
Svalbard Lufthavn;SN99840;01.10.2020 11:00;1.6;1;112;-;86
Svalbard Lufthavn;SN99840;01.10.2020 12:00;1.9;0;0;-;88
Svalbard Lufthavn;SN99840;01.10.2020 13:00;1.9;1.6;100;7;86
Svalbard Lufthavn;SN99840;01.10.2020 14:00;1.8;0.8;271;-;85
Svalbard Lufthavn;SN99840;01.10.2020 15:00;1.9;1.9;243;-;88
Svalbard Lufthavn;SN99840;01.10.2020 16:00;1.8;3.3;247;7;85
Svalbard Lufthavn;SN99840;01.10.2020 17:00;1.6;2.8;239;-;88
Svalbard Lufthavn;SN99840;01.10.2020 18:00;1.5;1.7;227;-;90
Svalbard Lufthavn;SN99840;01.10.2020 19:00;1;1.6;346;7;91
Svalbard Lufthavn;SN99840;01.10.2020 20:00;0.6;1.5;234;-;93
Svalbard Lufthavn;SN99840;01.10.2020 21:00;0.4;0;0;-;95
Svalbard Lufthavn;SN99840;01.10.2020 22:00;0.4;1.9;81;7;95
Svalbard Lufthavn;SN99840;01.10.2020 23:00;0.3;2.5;110;-;95
Svalbard Lufthavn;SN99840;02.10.2020 00:00;0.2;1.8;102;-;95
Svalbard Lufthavn;SN99840;02.10.2020 01:00;0.1;2.8;97;7;94
Svalbard Lufthavn;SN99840;02.10.2020 02:00;-0.1;3.1;103;-;93
